序号,日期,星期,课程内容,主题,知识点,练习内容
1,2026/7/14,二,第01次课 变量和数据的输入输出,基础语法,1-1 编写并运行程序; 1-2 输出语句; 1-3 输出换行和连续输出; 1-4 变量的创建和使用; 1-5 修改变量; 1-6 变量的命名规则; 1-7 数据的输入与连续输入,"【练一练】练一练1: 使用cout语句输出""banana apple""（选择题）; 练一练2: 以下对变量的创建和赋值正确的是哪一项（答案C）; 练一练3: GESP一级改编 - 下列关于C++语言的叙述，不正确的是（答案C）; 练一练4: 分析程序输出结果（修改变量）; 练一练5: GESP一级改编 - 以下不可以作为C++变量名的是（答案B） | 【编程题】解题: 输出长方形 - TTS的OJ系统解题 - 输出矩形; 解题: 交换两个变量的值 - 从键盘输入两个整数，保存到变量a和b中，编写代码交换两个变量的值; 亲自出码: 出生年月日 - 从键盘输入三个整数（出生年份、月份、几号），按规定格式依次输出; 快码加鞭: 两个整数的和 - 从键盘输入两个整数，按格式输出两个整数的和"
2,2026/7/15,三,第02次课 算术运算符和字符型,顺序结构,2-1 表达式; 2-2 算术运算符; 2-3 除法和取余运算符; 2-4 复合赋值运算符; 2-5 字符; 2-6 字符编码; 2-7 注释和关键字,"【练一练】练一练1: 计算表达式的结果（3/10、100/8/3）; 练一练2: 已知int a=2, b=3, c=8，计算c-=b、c*=a、c%=b的结果 | 【编程题】解题: 长方形的周长和面积 - 已知长方形的长和宽，计算周长和面积; 解题: 倒序三位数 - 输入一个三位整数，输出倒序后的数（如：243 -> 342）; 亲自出码: 数字的真面目 - 输入一个三位整数，输出倒序后的数; 解题: 查找ASCII编码 - 输入一个字符，输出该字符对应的ASCII码; 解题: 小写字母转大写字母 - 输入一个小写字母，转换为大写字母输出; 亲自出码: X星球信号加密 - X星球信号加密：基于字符ASCII码进行加密; 快码加鞭: 电影时长 - 输入电影秒数，转换为时分秒格式（如8316秒）"
3,2026/7/16,四,第03次课 比较运算符和if语句,分支结构,3-1 认识比较运算符; 3-2 布尔类型; 3-3 数据的真假性; 3-4 运算符的优先级; 3-5 if语句; 3-6 流程图; 3-7 复合语句; 3-8 if语句的嵌套,【练一练】练一练1: 计算比较表达式输出结果（98==85、98!=85等）; 练一练2: 分析程序的输出结果（变量赋值与比较）; 练一练3: GESP一级 - if语句中的条件表达式的结果必须为bool类型（判断题） | 【编程题】解题: 买练习本 - 输入一行三个整数a、b、c（钱数、单价、数量），判断能否购买练习本; 亲自出码: 停车场收费计算器 - 每小时5元，编写停车场收费计算程序; 快码加鞭: 赛马游戏 - 三匹马赛跑（最小值问题）
4,2026/7/17,五,第04次课 逻辑运算符和多分支,分支结构,4-1 逻辑运算符; 4-2 运算符的优先级; 4-3 if-else多分支语句; 4-4 switch语句; 4-5 break关键字,"【练一练】练一练1: 以下逻辑运算结果为真的是哪一项; 练一练2: GESP二级 - 不能正确判断""a等于b且b等于0""的表达式是哪一项 | 【编程题】解题: 判断闰年 - 输入一个整数n表示年份，判断是否为闰年; 解题: 判断成绩等级 - 输入正整数x表示分数，判断成绩等级; 亲自出码: 自定义的计算器 - 接收用户输入的两个数字和一个字符（+、-、*、/、%）实现计算器; 快码加鞭: 判断成绩等级 - 判断成绩等级（分数范围输出对应等级）"
5,2026/7/21,二,第05次课 阶段复习与练习(一),阶段一复习,5-1 条件运算符,【编程题】解题: 虫子吃苹果 - 输入苹果数量n、虫子吃一个苹果的时间x、经过的总时间y，计算剩余苹果; 解题: 纸的张数 - 输入开始页x、结束页y，计算需要的纸的张数（考虑奇偶）; 解题: 三角形的人工湖 - 判断三条边能否构成三角形; 亲自出码: 花果山会员 - 根据用户身份和消费金额，计算立减金额; 亲自出码: 客栈选择 - 根据最低消费预算和色调选择客栈; 快码加鞭: 快递费用 - 根据快递重量和地区编号计算快递费用
6,2026/7/22,三,趣味小项目:猜数字/简易计算器,综合应用,,【编程题】本节课无独立PPT; 趣味项目：综合应用猜数字游戏(随机数+循环+分支) + 简易计算器(菜单+switch)
7,2026/7/23,四,第06次课 for循环,循环结构,7-1 认识for循环; 7-2 for循环语法; 7-3 循环次数; 7-4 自增运算符; 7-5 自减运算符,"【练一练】练一练1: for循环语法判断（正确/错误）; 练一练2: for循环程序分析（输出结果）; 练一练3: 以下选项不符合C++语法的是 | 【编程题】解题: 输出范围内的整数 - 输出0~99之间的整数/偶数/奇数; 解题: 求n个整数的和 - 求n个整数的和; 亲自出码: n个整数""打擂台"" - 输入n个整数，找出最大/最小值; 解题: 输出大写字母 - 正序输出A~Z、倒序输出Z~A; 快码加鞭: 不定方程求解 - 根据三个正整数，列出满足条件的不定方程解"
8,2026/7/24,五,第07次课 for循环进阶,循环结构,8-1 break关键字; 8-2 continue关键字; 8-3 数列,【练一练】练一练1: 分析程序输出（涉及break/continue） | 【编程题】解题: 学生报数2 - 使用break或循环变量实现报数; 解题: 一起来围长方形 - 输入铁丝长度，列举能围成的长方形; 亲自出码: 考试分数统计 - 输入人数n和成绩，统计分数信息; 解题: 等差数列 - 输入前k项与公差，计算等差数列前k项; 解题: 斐波那契数列 - 生成斐波那契数列第k项; 快码加鞭: 最长连号 - 找出数组中的最长连号
9,2026/7/28,二,第08次课 while循环,循环结构,9-1 while循环的语法和执行流程; 9-2 for循环与while循环; 9-3 do while循环,【练一练】练一练1: 分析while循环程序的输出; 练一练2: for转while循环; 练一练3: do-while循环程序分析; 练一练4: 完善程序 - 键盘输入循环控制 | 【编程题】解题: 角谷猜想 - 对输入的n执行角谷猜想步骤; 亲自出码: 书香阁的座位数 - 使用while循环实现; 解题: 数字加加乐 - 对数字进行位运算; 解题: 数位分离 - 对一个整数进行数位分离; 亲自出码: 输出位数 - 输出整数的位数; 解题: 数列求和 - 求累加到第几项时和大于n; 亲自出码: 产品质检 - 质检分数≤60的产品被回收; 快码加鞭: 数组元素求和 - 输入数组长度和元素，输出两两相加之和
10,2026/7/29,三,第09次课 格式化输入输出及浮点数,数据类型,10-1 cout格式化输出; 10-2 printf()和scanf(); 10-3 float浮点型; 10-4 cout格式化输出float; 10-5 printf和scanf输出float; 10-6 万能头文件,【编程题】解题: 输出时间差 - 计算两个时间点的时间差; 解题: 投资压岁钱 - 根据本金和年利率计算n年后的金额; 亲自出码: 购买图书 - 使用数组保存每本图书价格，计算总费用; 快码加鞭: 输出月历 - 使用格式化输出打印月历
11,2026/7/30,四,第10次课 浮点数和数据类型转换,数据类型,11-1 浮点数的精度; 11-2 双精度浮点型; 11-3 字面常量; 11-4 自动数据类型转换; 11-5 强制数据类型转换; 11-6 其他整型数据类型,【练一练】练一练1: 浮点数比较相关（具体内容需OCR核对）; 练一练2: 留到小数点后两位并第三位四舍五入的方法 | 【编程题】解题: 童程购物 - 85折优惠问题（含大礼包判定）; 解题: 计算圆周率 - 使用莱布尼茨公式计算π的近似值; 亲自出码: 计算分数表达式 - 斐波那契数列相关计算; 亲自出码: 角谷猜想2 - 角谷猜想的实现; 快码加鞭: 插入乘号 - 数字间插入乘号（如4096=4*1234 vs 4*1*2*34等）
12,2026/7/31,五,第11次课 循环的嵌套,循环结构,12-1 认识循环嵌套; 12-2 双层for循环的语法格式和执行流程; 12-3 双层for循环中的变量关系,"【练一练】练一练1: 双层for循环程序分析; 练一练2: 双层for循环程序分析 | 【编程题】亲自出码: 输出空心矩形 - 使用双层for循环输出m行n列空心矩形; 解题: 输出九九乘法表 - 使用双层for循环输出九九乘法表; 解题: 小鱼比可爱 - NOIP题目 - 小鱼比可爱; 解题: 金币 - NOIP普及2015 - 金币问题; 解题: 校门外的树 - NOIP普及2005 - 校门外的树; 快码加鞭: 梦中的统计 - 统计[m,n]范围内能被3整除的数之和"
13,2026/8/4,二,第12次课 一维数组,数组,13-1 定义并使用数组; 13-2 数组初始化的各种方式; 13-3 数组的易错点; 13-4 使用for循环遍历数组元素,【练一练】练一练1: 数组相关选择题（OCR未识别）; 练一练2: 数组相关选择题（OCR未识别）; 练一练4: 数组程序分析（int s[5]） | 【编程题】解题: 查询分数 - 存储并查询学生分数; 亲自出码: 计算5名同学的总分 - 数组基础操作; 解题: 查询分数2 - 改进版：输入n个学生成绩并查询; 亲自出码: 查询分数3 - 计算平均分并循环判断输出; 快码加鞭: 陶陶摘苹果 - NOIP题目 - 陶陶摘苹果
14,2026/8/5,三,第13次课 数组进阶,数组,14-1 向数组中指定位置插入元素; 14-2 删除数组中指定位置的元素; 14-3 const关键字,【编程题】解题: 中间同学的身高 - 查找数组中的最大/最小值; 亲自出码: 找出谁是第二高 - 找出数组中第二高的元素; 解题: 分数查询程序 - 查询相同分数; 解题: 最大的字符 - 查找字符数组中的最大字符; 亲自出码: 淘汰赛 - 删除最低分; 快码加鞭: 邮件分类 - 根据邮政编码将邮件分类到不同地区数组
15,2026/8/6,四,第14次课 阶段复习与练习(二),阶段二复习,,【编程题】解题: 字母配对 - 小写字母配对大写字母; 解题: 斗地主 - 判断是否为顺子（5≤n≤13）; 解题: 找出没出现过的数字 - 在数组中标记并查找未出现的数字; 亲自出码: 数字去重输出 - 数组去重; 解题: 找出没出现过的字母 - 字母版本; 解题: 狐狸与兔子 - 狐狸找洞穴的规律问题; 快码加鞭: 选拔猴王 - 约瑟夫环问题 - 选出猴王
16,2026/8/7,五,第15次课 字符串和字符数组,数组,16-1 字符串的概念及存储; 16-2 '\0'控制符的重要性; 16-3 字符串的输入; 16-4 使用strlen函数计算字符串的长度; 16-5 使用strcpy函数复制字符串; 16-6 使用strcmp函数比较字符串; 16-7 使用strcat函数拼接字符串,"【练一练】练一练1: 字符串选择题（OCR未识别）; 练一练2: 字符数组程序分析（char str[...]）; 练一练3: 字符串相关选择题（OCR未识别）; 练一练4: strcmp比较结果（char a[]=""10-2"", b[]=""8""） | 【编程题】解题: 统计字符 - 统计字符串中字符数; 解题: 判断回文串 - 判断输入字符串是否为回文; 解题: 分数最高的同学 - 找出最高分; 亲自出码: 拼接姓名 - 按字典序比较/拼接姓名; 快码加鞭: 字符串判等 - 使用strcmp比较两个字符串"
17,2026/8/11,二,第16次课 string类型的字符串,数组,17-1 string字符类型; 17-2 遍历string字符串; 17-3 string字符串的运算; 17-4 string字符串的查询,【练一练】练一练1: string类型程序分析（string s）; 练一练2: string类型程序分析（#include<bits/stdc++.h>） | 【编程题】解题: 宝库的钥匙 - 字符串处理 - 获取字符串正中央字符; 解题: 整理药名 - 将字符串首字母大写、其余小写; 亲自出码: 验证子串 - 判断字符串a是否包含子串b; 解题: 子串个数 - 字符串a中包含子串b的个数; 快码加鞭: 词组缩写升级版 - 找出每个单词的首字母组成缩写
18,2026/8/12,三,第17次课 阶段复习与练习(三),阶段三复习,,【编程题】解题: 偶数均值 - 求数组中偶数的均值; 解题: 子序列的和 - 分子为1的子序列求和; 解题: 字符串p型编码 - 字符串p型编码; 解题: 复原字符串 - 根据某些规则复原字符串; 解题: 最长最短单词 - 找出句子中最长和最短单词; 快码加鞭: Caesar - 凯撒加密 - 字符串加密
19,2026/8/13,四,第18次课 二维数组,数组,19-1 二维数组的定义和初始化; 19-2 二维数组的遍历,【练一练】练一练1: 二维数组相关（OCR未识别）; 练一练2: 二维数组程序分析（int a[3][...]） | 【编程题】解题: 换位置 - 将a行b列与b行a列的元素交换; 解题: 最多的花生 - 找出花生总数最多的行; 亲自出码: 运气最好的人 - 找出每列花生的总数; 解题: 图像相似度 - 统计两个二维数组中相同元素个数; 快码加鞭: 友好数对 - 统计友好数对
20,2026/8/14,五,暑期总复习+学习成果展示,总结,,【编程题】本节课无独立PPT; 暑期总复习: 总结八大结构(顺序/分支/循环) + 一维/二维数组 + 字符串 + 格式化I/O; 学习成果展示: 项目汇报(猜数字加强版/学生成绩管理系统/简易通讯录)
